Serial No , Queue No , Type , Length , Speed , Arrival , Depart, Service , Wait 
79,3,small,3,17,300,0,0,0
80,3,large,16,6,300,0,0,0
81,3,medium,9,11,300,0,0,0
82,3,medium,8,13,300,0,0,0
83,3,medium,9,14,300,0,0,0
84,3,small,3,19,300,0,0,0
85,1,small,3,17,400,0,0,0
86,1,medium,7,10,400,0,0,0
87,1,medium,8,14,400,0,0,0
88,1,small,4,17,400,0,0,0
89,1,small,3,18,400,0,0,0
90,1,medium,7,12,400,0,0,0
91,1,small,3,19,400,0,0,0
92,1,large,16,9,400,0,0,0
93,2,large,14,9,400,0,0,0
94,2,large,16,5,400,0,0,0
95,2,large,14,9,400,0,0,0
96,2,large,15,8,400,0,0,0
97,2,medium,9,14,400,0,0,0
98,2,large,16,6,400,0,0,0
99,2,medium,7,13,400,0,0,0
100,2,medium,7,13,400,0,0,0
101,3,medium,8,13,400,0,0,0
102,3,large,13,5,400,0,0,0
103,3,small,4,15,400,0,0,0
104,3,medium,7,13,400,0,0,0
105,3,medium,9,11,400,0,0,0
106,3,small,3,16,400,0,0,0
107,3,medium,9,14,400,0,0,0
108,1,medium,8,11,500,0,0,0
109,1,small,3,16,500,0,0,0
110,1,large,13,6,500,0,0,0
111,1,medium,8,10,500,0,0,0
112,1,large,13,9,500,0,0,0
113,1,large,13,7,500,0,0,0
114,1,large,16,8,500,0,0,0
115,1,medium,9,13,500,0,0,0
116,2,small,3,18,500,0,0,0
117,2,small,3,18,500,0,0,0
118,2,large,13,9,500,0,0,0
119,2,large,14,8,500,0,0,0
120,2,medium,9,13,500,0,0,0
121,2,medium,9,13,500,0,0,0
122,2,large,12,9,500,0,0,0
123,3,large,14,6,500,0,0,0
124,3,large,13,7,500,0,0,0
125,3,small,4,19,500,0,0,0
126,3,large,15,9,500,0,0,0
127,3,small,3,15,500,0,0,0
128,3,medium,8,12,500,0,0,0
129,3,small,3,15,500,0,0,0
130,1,large,13,9,600,0,0,0
131,1,large,12,9,600,0,0,0
132,1,small,3,15,600,0,0,0
133,1,large,13,8,600,0,0,0
134,1,large,13,9,600,0,0,0
135,1,large,12,8,600,0,0,0
136,1,medium,7,13,600,0,0,0
137,1,medium,8,11,600,0,0,0
138,2,large,14,6,600,0,0,0
139,2,small,3,16,600,0,0,0
140,2,small,4,17,600,0,0,0
141,2,large,15,9,600,0,0,0
142,2,small,3,15,600,0,0,0
143,2,small,3,16,600,0,0,0
144,2,large,16,7,600,0,0,0
145,2,small,4,16,600,0,0,0
146,3,medium,8,10,600,0,0,0
147,3,small,4,15,600,0,0,0
148,3,small,3,19,600,0,0,0
149,3,small,4,18,600,0,0,0
150,3,medium,8,11,600,0,0,0
151,3,large,15,8,600,0,0,0
152,3,large,12,6,600,0,0,0
153,3,large,13,7,600,0,0,0
154,1,small,4,19,700,0,0,0
155,1,large,14,9,700,0,0,0
156,1,large,14,5,700,0,0,0
157,1,large,15,9,700,0,0,0
158,1,large,14,7,700,0,0,0
159,1,large,14,5,700,0,0,0
160,1,large,13,6,700,0,0,0
161,2,small,4,15,700,0,0,0
162,2,large,14,9,700,0,0,0
163,2,small,3,15,700,0,0,0
164,2,small,3,16,700,0,0,0
165,2,small,3,16,700,0,0,0
166,2,small,3,17,700,0,0,0
167,2,large,14,6,700,0,0,0
168,2,medium,7,10,700,0,0,0
169,3,medium,8,14,700,0,0,0
170,3,large,15,6,700,0,0,0
171,3,medium,8,11,700,0,0,0
172,3,small,3,16,700,0,0,0
173,3,large,13,9,700,0,0,0
174,3,large,12,9,700,0,0,0
175,1,large,13,8,800,0,0,0
176,1,large,14,5,800,0,0,0
177,1,small,4,19,800,0,0,0
178,1,medium,8,12,800,0,0,0
179,1,large,14,6,800,0,0,0
180,1,large,16,8,800,0,0,0
181,1,large,15,6,800,0,0,0
182,2,small,4,18,800,0,0,0
183,2,small,3,16,800,0,0,0
184,2,large,15,6,800,0,0,0
185,2,large,12,5,800,0,0,0
186,2,large,15,6,800,0,0,0
187,2,small,4,16,800,0,0,0
188,2,large,12,8,800,0,0,0
189,2,medium,8,11,800,0,0,0
190,3,large,14,5,800,0,0,0
191,3,large,16,8,800,0,0,0
192,3,small,3,17,800,0,0,0
193,3,large,16,5,800,0,0,0
194,3,large,14,7,800,0,0,0
195,3,large,15,5,800,0,0,0
196,3,large,13,7,800,0,0,0
197,1,large,14,7,900,0,0,0
198,1,medium,9,10,900,0,0,0
199,1,medium,7,13,900,0,0,0
200,1,small,4,18,900,0,0,0
201,1,small,4,19,900,0,0,0
202,1,medium,7,12,900,0,0,0
203,1,medium,9,12,900,0,0,0
204,1,large,12,7,900,0,0,0
205,2,small,4,18,900,0,0,0
206,2,small,3,17,900,0,0,0
207,2,large,13,6,900,0,0,0
208,2,small,4,15,900,0,0,0
209,2,small,4,17,900,0,0,0
210,2,medium,9,11,900,0,0,0
211,2,small,4,17,900,0,0,0
212,2,medium,8,11,900,0,0,0
213,3,large,12,8,900,0,0,0
214,3,medium,9,10,900,0,0,0
215,3,medium,8,11,900,0,0,0
216,3,small,3,15,900,0,0,0
217,3,small,3,17,900,0,0,0
218,3,large,15,8,900,0,0,0
219,1,small,3,18,1000,0,0,0
220,1,medium,8,11,1000,0,0,0
221,1,medium,9,12,1000,0,0,0
222,1,small,3,19,1000,0,0,0
223,1,small,4,17,1000,0,0,0
224,1,small,3,19,1000,0,0,0
225,1,small,4,16,1000,0,0,0
226,2,small,4,18,1000,0,0,0
227,2,small,4,15,1000,0,0,0
228,2,medium,9,10,1000,0,0,0
229,2,large,13,6,1000,0,0,0
230,2,large,13,7,1000,0,0,0
231,2,large,14,5,1000,0,0,0
232,2,small,4,15,1000,0,0,0
233,2,large,15,6,1000,0,0,0
234,3,large,15,7,1000,0,0,0
235,3,medium,8,12,1000,0,0,0
236,3,medium,9,13,1000,0,0,0
237,3,medium,7,14,1000,0,0,0
238,3,medium,7,11,1000,0,0,0
239,3,medium,9,13,1000,0,0,0
240,3,medium,7,11,1000,0,0,0
241,3,medium,7,10,1000,0,0,0
242,1,medium,9,14,1100,0,0,0
243,1,large,15,8,1100,0,0,0
244,1,large,12,9,1100,0,0,0
245,1,medium,9,14,1100,0,0,0
246,1,small,3,15,1100,0,0,0
247,1,medium,7,11,1100,0,0,0
248,1,medium,7,12,1100,0,0,0
249,1,large,16,7,1100,0,0,0
250,2,large,16,6,1100,0,0,0
251,2,large,16,6,1100,0,0,0
252,2,medium,7,10,1100,0,0,0
253,2,small,3,16,1100,0,0,0
254,2,medium,9,10,1100,0,0,0
255,2,medium,9,13,1100,0,0,0
256,2,medium,9,11,1100,0,0,0
257,3,small,4,16,1100,0,0,0
258,3,small,3,16,1100,0,0,0
259,3,medium,8,10,1100,0,0,0
260,3,medium,9,13,1100,0,0,0
261,3,small,4,17,1100,0,0,0
262,3,medium,8,12,1100,0,0,0
263,3,small,3,16,1100,0,0,0
264,1,large,13,8,1200,0,0,0
265,1,small,4,16,1200,0,0,0
266,1,medium,9,14,1200,0,0,0
267,1,medium,7,14,1200,0,0,0
268,1,small,4,18,1200,0,0,0
269,1,small,4,17,1200,0,0,0
270,2,large,16,7,1200,0,0,0
271,2,large,16,5,1200,0,0,0
272,2,small,3,17,1200,0,0,0
273,2,medium,9,14,1200,0,0,0
274,2,small,4,15,1200,0,0,0
275,2,large,12,6,1200,0,0,0
276,2,large,16,5,1200,0,0,0
277,3,medium,8,14,1200,0,0,0
278,3,large,16,5,1200,0,0,0
279,3,small,3,18,1200,0,0,0
280,3,medium,9,11,1200,0,0,0
281,3,large,12,8,1200,0,0,0
282,3,large,15,5,1200,0,0,0
283,3,large,14,8,1200,0,0,0
284,3,small,4,18,1200,0,0,0
285,1,small,4,19,1300,0,0,0
286,1,large,16,7,1300,0,0,0
287,1,large,14,6,1300,0,0,0
288,1,small,3,15,1300,0,0,0
289,1,large,12,5,1300,0,0,0
290,1,small,3,15,1300,0,0,0
291,1,small,3,16,1300,0,0,0
292,2,small,3,18,1300,0,0,0
293,2,medium,8,12,1300,0,0,0
294,2,large,14,6,1300,0,0,0
295,2,medium,8,11,1300,0,0,0
296,2,small,3,19,1300,0,0,0
297,2,large,13,8,1300,0,0,0
298,2,small,3,19,1300,0,0,0
299,2,large,16,8,1300,0,0,0
300,3,large,14,5,1300,0,0,0
301,3,medium,7,10,1300,0,0,0
302,3,large,14,5,1300,0,0,0
303,3,small,4,19,1300,0,0,0
304,3,medium,8,11,1300,0,0,0
305,3,medium,9,12,1300,0,0,0
306,1,large,15,7,1400,0,0,0
307,1,small,3,16,1400,0,0,0
308,1,medium,8,11,1400,0,0,0
309,1,large,13,6,1400,0,0,0
310,1,large,15,5,1400,0,0,0
311,1,medium,8,11,1400,0,0,0
312,2,medium,7,14,1400,0,0,0
313,2,medium,9,12,1400,0,0,0
314,2,large,13,6,1400,0,0,0
315,2,large,12,6,1400,0,0,0
316,2,medium,7,13,1400,0,0,0
317,2,small,4,15,1400,0,0,0
318,2,small,4,16,1400,0,0,0
319,3,small,3,16,1400,0,0,0
320,3,medium,7,10,1400,0,0,0
321,3,large,16,8,1400,0,0,0
322,3,medium,9,14,1400,0,0,0
323,3,medium,8,14,1400,0,0,0
324,3,large,14,5,1400,0,0,0
325,3,large,15,6,1400,0,0,0
326,1,large,15,9,1500,0,0,0
327,1,medium,7,10,1500,0,0,0
328,1,medium,8,11,1500,0,0,0
329,1,medium,9,10,1500,0,0,0
330,1,large,12,8,1500,0,0,0
331,1,large,13,8,1500,0,0,0
332,1,large,16,6,1500,0,0,0
333,2,large,13,6,1500,0,0,0
334,2,large,12,7,1500,0,0,0
335,2,medium,7,11,1500,0,0,0
336,2,large,13,8,1500,0,0,0
337,2,large,16,9,1500,0,0,0
338,2,large,14,6,1500,0,0,0
339,2,small,3,17,1500,0,0,0
340,3,large,13,7,1500,0,0,0
341,3,large,13,9,1500,0,0,0
342,3,medium,8,13,1500,0,0,0
343,3,small,3,15,1500,0,0,0
344,3,large,14,5,1500,0,0,0
345,3,small,3,15,1500,0,0,0
346,3,large,14,9,1500,0,0,0
347,3,small,4,16,1500,0,0,0
348,1,small,3,19,1600,0,0,0
349,1,medium,9,14,1600,0,0,0
350,1,small,4,18,1600,0,0,0
351,1,large,15,9,1600,0,0,0
352,1,medium,8,11,1600,0,0,0
353,1,large,14,9,1600,0,0,0
354,2,large,12,9,1600,0,0,0
355,2,small,3,16,1600,0,0,0
356,2,large,16,8,1600,0,0,0
357,2,large,15,5,1600,0,0,0
358,2,large,16,6,1600,0,0,0
359,2,medium,8,12,1600,0,0,0
360,2,medium,9,11,1600,0,0,0
361,2,small,4,15,1600,0,0,0
362,3,large,14,8,1600,0,0,0
363,3,large,13,8,1600,0,0,0
364,3,large,12,7,1600,0,0,0
365,3,large,12,9,1600,0,0,0
366,3,large,14,9,1600,0,0,0
367,3,medium,7,14,1600,0,0,0
368,3,medium,9,14,1600,0,0,0
369,3,small,4,16,1600,0,0,0
370,1,medium,8,12,1700,0,0,0
371,1,medium,9,13,1700,0,0,0
372,1,small,3,16,1700,0,0,0
373,1,small,3,19,1700,0,0,0
374,1,medium,9,13,1700,0,0,0
375,1,large,12,6,1700,0,0,0
376,2,small,4,17,1700,0,0,0
377,2,large,12,5,1700,0,0,0
378,2,small,4,19,1700,0,0,0
379,2,large,16,8,1700,0,0,0
380,2,large,16,9,1700,0,0,0
381,2,large,15,7,1700,0,0,0
382,2,large,14,6,1700,0,0,0
383,2,large,16,8,1700,0,0,0
384,3,medium,9,13,1700,0,0,0
385,3,medium,7,10,1700,0,0,0
386,3,medium,8,14,1700,0,0,0
387,3,large,12,7,1700,0,0,0
388,3,large,12,6,1700,0,0,0
389,3,medium,9,13,1700,0,0,0
390,1,small,4,16,1800,0,0,0
391,1,medium,9,11,1800,0,0,0
392,1,small,3,17,1800,0,0,0
393,1,medium,8,13,1800,0,0,0
394,1,large,14,9,1800,0,0,0
395,1,large,15,8,1800,0,0,0
396,2,small,4,18,1800,0,0,0
397,2,large,14,7,1800,0,0,0
398,2,small,3,19,1800,0,0,0
399,2,small,3,18,1800,0,0,0
400,2,small,4,18,1800,0,0,0
401,2,medium,7,13,1800,0,0,0
402,2,small,4,15,1800,0,0,0
403,2,medium,8,14,1800,0,0,0
404,3,medium,9,10,1800,0,0,0
405,3,medium,8,12,1800,0,0,0
406,3,medium,9,10,1800,0,0,0
407,3,medium,9,11,1800,0,0,0
408,3,medium,9,14,1800,0,0,0
409,3,small,3,16,1800,0,0,0
410,1,large,16,5,1900,0,0,0
411,1,large,16,7,1900,0,0,0
412,1,medium,9,11,1900,0,0,0
413,1,small,3,18,1900,0,0,0
414,1,small,4,17,1900,0,0,0
415,1,small,3,15,1900,0,0,0
416,2,medium,9,12,1900,0,0,0
417,2,small,4,16,1900,0,0,0
418,2,large,12,5,1900,0,0,0
419,2,small,3,15,1900,0,0,0
420,2,large,14,8,1900,0,0,0
421,2,small,3,16,1900,0,0,0
422,3,medium,7,14,1900,0,0,0
423,3,small,4,19,1900,0,0,0
424,3,medium,9,13,1900,0,0,0
425,3,large,13,5,1900,0,0,0
426,3,small,3,15,1900,0,0,0
427,3,large,13,9,1900,0,0,0
428,3,small,3,18,1900,0,0,0
429,1,large,15,6,2000,0,0,0
430,1,small,4,18,2000,0,0,0
431,1,small,3,17,2000,0,0,0
432,1,small,3,19,2000,0,0,0
433,1,small,3,17,2000,0,0,0
434,1,large,12,9,2000,0,0,0
435,2,small,4,18,2000,0,0,0
436,2,medium,9,11,2000,0,0,0
437,2,small,3,16,2000,0,0,0
438,2,large,16,7,2000,0,0,0
439,2,medium,7,11,2000,0,0,0
440,2,medium,9,13,2000,0,0,0
441,2,small,3,16,2000,0,0,0
442,3,medium,7,10,2000,0,0,0
443,3,large,13,6,2000,0,0,0
444,3,medium,8,10,2000,0,0,0
445,3,small,4,16,2000,0,0,0
446,3,small,4,18,2000,0,0,0
447,3,small,4,15,2000,0,0,0
448,1,large,15,7,2100,0,0,0
449,1,small,4,18,2100,0,0,0
450,1,small,4,18,2100,0,0,0
451,1,large,15,6,2100,0,0,0
452,1,small,4,18,2100,0,0,0
453,1,small,4,15,2100,0,0,0
454,2,large,14,5,2100,0,0,0
455,2,medium,8,12,2100,0,0,0
456,2,large,15,6,2100,0,0,0
457,2,large,15,8,2100,0,0,0
458,2,medium,9,12,2100,0,0,0
459,2,medium,9,11,2100,0,0,0
460,2,small,3,16,2100,0,0,0
461,2,small,3,18,2100,0,0,0
462,3,medium,8,12,2100,0,0,0
463,3,medium,8,10,2100,0,0,0
464,3,small,4,16,2100,0,0,0
465,3,large,16,5,2100,0,0,0
466,3,medium,7,14,2100,0,0,0
467,3,large,14,5,2100,0,0,0
468,1,large,15,6,2200,0,0,0
469,1,medium,7,11,2200,0,0,0
470,1,large,16,9,2200,0,0,0
471,1,small,3,16,2200,0,0,0
472,1,medium,9,11,2200,0,0,0
473,1,medium,8,14,2200,0,0,0
474,2,small,4,16,2200,0,0,0
475,2,medium,7,13,2200,0,0,0
476,2,large,13,6,2200,0,0,0
477,2,large,13,9,2200,0,0,0
478,2,small,3,15,2200,0,0,0
479,2,small,3,15,2200,0,0,0
480,2,medium,9,10,2200,0,0,0
481,2,large,12,9,2200,0,0,0
482,3,small,4,17,2200,0,0,0
483,3,medium,9,11,2200,0,0,0
484,3,small,3,18,2200,0,0,0
485,3,medium,9,13,2200,0,0,0
486,3,large,14,7,2200,0,0,0
487,3,small,3,19,2200,0,0,0
488,3,small,4,16,2200,0,0,0
489,1,medium,8,10,2300,0,0,0
490,1,large,14,5,2300,0,0,0
491,1,small,4,19,2300,0,0,0
492,1,medium,8,11,2300,0,0,0
493,1,small,3,19,2300,0,0,0
494,1,large,13,8,2300,0,0,0
495,1,medium,9,13,2300,0,0,0
496,2,small,4,16,2300,0,0,0
497,2,small,3,18,2300,0,0,0
498,2,small,3,15,2300,0,0,0
499,2,medium,8,11,2300,0,0,0
500,2,large,12,9,2300,0,0,0
501,2,large,14,7,2300,0,0,0
502,3,medium,8,13,2300,0,0,0
503,3,small,3,15,2300,0,0,0
504,3,small,4,16,2300,0,0,0
505,3,small,4,17,2300,0,0,0
506,3,small,3,16,2300,0,0,0
507,3,medium,9,14,2300,0,0,0
508,3,large,14,7,2300,0,0,0
509,3,medium,7,12,2300,0,0,0
510,1,large,14,9,2400,0,0,0
511,1,small,4,18,2400,0,0,0
512,1,large,13,5,2400,0,0,0
513,1,large,12,9,2400,0,0,0
514,1,small,4,19,2400,0,0,0
515,1,small,4,17,2400,0,0,0
516,1,small,4,16,2400,0,0,0
517,2,large,16,6,2400,0,0,0
518,2,small,4,18,2400,0,0,0
519,2,medium,7,10,2400,0,0,0
520,2,large,16,8,2400,0,0,0
521,2,small,3,16,2400,0,0,0
522,2,small,4,15,2400,0,0,0
523,2,small,4,17,2400,0,0,0
524,3,medium,9,10,2400,0,0,0
525,3,large,12,8,2400,0,0,0
526,3,small,3,17,2400,0,0,0
527,3,large,15,7,2400,0,0,0
528,3,medium,8,11,2400,0,0,0
529,3,large,16,9,2400,0,0,0
530,1,medium,7,14,2500,0,0,0
531,1,large,16,5,2500,0,0,0
532,1,medium,7,10,2500,0,0,0
533,1,small,3,17,2500,0,0,0
534,1,small,4,19,2500,0,0,0
535,1,small,4,16,2500,0,0,0
536,1,small,4,16,2500,0,0,0
537,2,small,4,15,2500,0,0,0
538,2,large,13,9,2500,0,0,0
539,2,large,12,8,2500,0,0,0
540,2,small,3,16,2500,0,0,0
541,2,small,3,18,2500,0,0,0
542,2,small,4,16,2500,0,0,0
543,2,medium,9,13,2500,0,0,0
544,2,small,4,16,2500,0,0,0
545,3,large,12,8,2500,0,0,0
546,3,small,4,18,2500,0,0,0
547,3,small,3,17,2500,0,0,0
548,3,medium,9,11,2500,0,0,0
549,3,medium,7,14,2500,0,0,0
550,3,medium,8,13,2500,0,0,0
551,1,large,12,7,2600,0,0,0
552,1,medium,8,13,2600,0,0,0
553,1,small,4,18,2600,0,0,0
554,1,large,16,5,2600,0,0,0
555,1,small,3,18,2600,0,0,0
556,1,medium,9,10,2600,0,0,0
557,1,small,4,19,2600,0,0,0
558,1,large,13,9,2600,0,0,0
559,2,small,3,16,2600,0,0,0
560,2,medium,7,14,2600,0,0,0
561,2,large,16,8,2600,0,0,0
562,2,large,14,9,2600,0,0,0
563,2,large,16,9,2600,0,0,0
564,2,large,15,7,2600,0,0,0
565,2,small,4,16,2600,0,0,0
566,3,small,4,15,2600,0,0,0
567,3,medium,7,11,2600,0,0,0
568,3,medium,7,12,2600,0,0,0
569,3,small,4,18,2600,0,0,0
570,3,medium,9,11,2600,0,0,0
571,3,medium,7,10,2600,0,0,0
572,1,small,4,16,2700,0,0,0
573,1,medium,8,14,2700,0,0,0
574,1,small,4,17,2700,0,0,0
575,1,small,3,15,2700,0,0,0
576,1,medium,7,14,2700,0,0,0
577,1,medium,8,13,2700,0,0,0
578,1,large,13,6,2700,0,0,0
579,2,large,14,9,2700,0,0,0
580,2,large,16,7,2700,0,0,0
581,2,medium,9,10,2700,0,0,0
582,2,large,12,8,2700,0,0,0
583,2,medium,7,13,2700,0,0,0
584,2,large,14,6,2700,0,0,0
585,2,large,15,8,2700,0,0,0
586,2,large,14,8,2700,0,0,0
587,3,small,4,17,2700,0,0,0
588,3,small,4,17,2700,0,0,0
589,3,small,3,15,2700,0,0,0
590,3,large,12,8,2700,0,0,0
591,3,large,12,5,2700,0,0,0
592,3,large,13,9,2700,0,0,0
593,3,medium,7,12,2700,0,0,0
594,1,large,15,5,2800,0,0,0
595,1,small,4,16,2800,0,0,0
596,1,small,4,18,2800,0,0,0
597,1,small,4,16,2800,0,0,0
598,1,large,14,9,2800,0,0,0
599,1,large,13,8,2800,0,0,0
600,1,small,4,18,2800,0,0,0
601,1,large,14,6,2800,0,0,0
602,2,medium,8,11,2800,0,0,0
603,2,large,13,9,2800,0,0,0
604,2,medium,7,10,2800,0,0,0
605,2,small,3,17,2800,0,0,0
606,2,medium,8,14,2800,0,0,0
607,2,small,4,18,2800,0,0,0
608,3,large,12,6,2800,0,0,0
609,3,small,4,15,2800,0,0,0
610,3,small,3,16,2800,0,0,0
611,3,medium,9,10,2800,0,0,0
612,3,medium,9,11,2800,0,0,0
613,3,small,3,19,2800,0,0,0
614,3,small,3,18,2800,0,0,0
615,1,small,3,15,2900,0,0,0
616,1,medium,9,14,2900,0,0,0
617,1,medium,7,14,2900,0,0,0
618,1,medium,8,13,2900,0,0,0
619,1,large,16,6,2900,0,0,0
620,1,large,13,5,2900,0,0,0
621,2,small,4,18,2900,0,0,0
622,2,medium,8,13,2900,0,0,0
623,2,medium,7,12,2900,0,0,0
624,2,medium,7,14,2900,0,0,0
625,2,small,4,19,2900,0,0,0
626,2,large,12,7,2900,0,0,0
627,2,large,12,7,2900,0,0,0
628,2,medium,8,12,2900,0,0,0
629,3,small,3,16,2900,0,0,0
630,3,small,4,16,2900,0,0,0
631,3,medium,7,10,2900,0,0,0
632,3,medium,8,12,2900,0,0,0
633,3,medium,9,12,2900,0,0,0
634,3,small,3,19,2900,0,0,0
635,1,medium,9,10,3000,0,0,0
636,1,large,15,9,3000,0,0,0
637,1,medium,7,11,3000,0,0,0
638,1,large,12,7,3000,0,0,0
639,1,medium,7,14,3000,0,0,0
640,1,medium,7,14,3000,0,0,0
641,2,large,13,7,3000,0,0,0
642,2,small,3,19,3000,0,0,0
643,2,large,13,8,3000,0,0,0
644,2,large,12,9,3000,0,0,0
645,2,small,3,19,3000,0,0,0
646,2,small,3,18,3000,0,0,0
647,3,small,4,16,3000,0,0,0
648,3,medium,7,13,3000,0,0,0
649,3,large,14,6,3000,0,0,0
650,3,medium,7,10,3000,0,0,0
651,3,small,4,18,3000,0,0,0
652,3,large,13,5,3000,0,0,0
653,1,medium,8,12,3100,0,0,0
654,1,large,16,5,3100,0,0,0
655,1,large,15,5,3100,0,0,0
656,1,large,14,8,3100,0,0,0
657,1,small,4,17,3100,0,0,0
658,1,small,4,18,3100,0,0,0
659,1,medium,9,10,3100,0,0,0
660,1,small,4,19,3100,0,0,0
661,2,small,3,18,3100,0,0,0
662,2,large,14,8,3100,0,0,0
663,2,medium,8,10,3100,0,0,0
664,2,medium,7,13,3100,0,0,0
665,2,large,16,6,3100,0,0,0
666,2,small,4,15,3100,0,0,0
667,2,medium,9,10,3100,0,0,0
668,2,large,16,8,3100,0,0,0
669,3,medium,8,10,3100,0,0,0
670,3,medium,8,11,3100,0,0,0
671,3,small,3,16,3100,0,0,0
672,3,large,15,8,3100,0,0,0
673,3,medium,8,12,3100,0,0,0
674,3,medium,8,13,3100,0,0,0
675,1,large,14,7,3200,0,0,0
676,1,small,3,16,3200,0,0,0
677,1,large,15,6,3200,0,0,0
678,1,small,4,15,3200,0,0,0
679,1,small,3,17,3200,0,0,0
680,1,small,4,18,3200,0,0,0
681,2,medium,7,13,3200,0,0,0
682,2,small,3,16,3200,0,0,0
683,2,medium,8,11,3200,0,0,0
684,2,large,13,9,3200,0,0,0
685,2,large,15,9,3200,0,0,0
686,2,small,3,15,3200,0,0,0
687,2,medium,8,13,3200,0,0,0
688,2,large,16,9,3200,0,0,0
689,3,large,12,7,3200,0,0,0
690,3,medium,9,11,3200,0,0,0
691,3,medium,9,10,3200,0,0,0
692,3,large,16,8,3200,0,0,0
693,3,small,3,17,3200,0,0,0
694,3,large,16,8,3200,0,0,0
695,3,large,12,8,3200,0,0,0
696,3,medium,8,14,3200,0,0,0
697,1,large,12,9,3300,0,0,0
698,1,small,3,16,3300,0,0,0
699,1,medium,9,14,3300,0,0,0
700,1,large,14,9,3300,0,0,0
701,1,small,4,17,3300,0,0,0
702,1,medium,9,11,3300,0,0,0
703,2,large,14,9,3300,0,0,0
704,2,medium,9,10,3300,0,0,0
705,2,small,4,16,3300,0,0,0
706,2,large,12,9,3300,0,0,0
707,2,large,13,9,3300,0,0,0
708,2,large,14,6,3300,0,0,0
709,2,medium,7,10,3300,0,0,0
710,2,large,15,5,3300,0,0,0
711,3,large,14,8,3300,0,0,0
712,3,medium,9,10,3300,0,0,0
713,3,small,4,19,3300,0,0,0
714,3,large,13,6,3300,0,0,0
715,3,medium,7,13,3300,0,0,0
716,3,medium,9,11,3300,0,0,0
717,3,large,16,7,3300,0,0,0
718,1,small,4,19,3400,0,0,0
719,1,large,13,7,3400,0,0,0
720,1,medium,8,10,3400,0,0,0
721,1,medium,7,11,3400,0,0,0
722,1,small,4,15,3400,0,0,0
723,1,large,13,9,3400,0,0,0
724,1,small,3,19,3400,0,0,0
725,2,large,14,5,3400,0,0,0
726,2,large,13,7,3400,0,0,0
727,2,medium,7,14,3400,0,0,0
728,2,medium,9,14,3400,0,0,0
729,2,medium,7,12,3400,0,0,0
730,2,small,3,17,3400,0,0,0
731,3,medium,9,14,3400,0,0,0
